Economy,Year,Economy Code,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)"
Sweden,2022,SWE,33.694
Switzerland,2023,CHE,41.265
Syrian Arab Republic,2023,SYR,
Tajikistan,2017,TJK,12.010
Tanzania,2022,TZA,2.320
Thailand,2022,THA,17.350
Timor-Leste,2022,TLS,1.265
Togo,2022,TGO,5.884
Tonga,2021,TON,5.459
Trinidad and Tobago,2022,TTO,10.140
Tunisia,2022,TUN,12.803
Turkiye,2022,TUR,20.942
Turkmenistan,2019,TKM,13.839
Turks and Caicos Islands,2019,TCA,11.749
Tuvalu,2022,TUV,6.051
Uganda,2021,UGA,4.435
Ukraine,2023,UKR,
United Arab Emirates,2022,ARE,51.070
United Kingdom,2023,GBR,37.130
United States,2023,USA,38.568
Uruguay,2022,URY,22.010
Uzbekistan,2022,UZB,16.850
Vanuatu,2020,VUT,2.581
"Venezuela, RB",2017,VEN,22.257
Vietnam,2023,VNM,11.221
Virgin Islands (U.S.),2023,VIR,
West Bank and Gaza,2022,PSE,22.750
"Yemen, Rep.",2023,YEM,
Zambia,2022,ZMB,2.712
Zimbabwe,2022,ZWE,0.914
